title;subject;date;short_text;type
 Obama Probing Putin: Orders Review Of Russian Hacking, And He Wants It Done Before He Leaves Office;News;09-12-2016;President Obama has ordered a  full review  of Russian involvement in the DNC hacking and interference in the U.S. presidential election, and he wants it on his desk before he leaves office. Lisa Monaco, Obama s counterterrorism and homeland-security adviser, told reporters that it is  incumbent upon us  to take a deeper look into the situation. We may have crossed into a new threshold, and it is incumbent upon us to take stock of that, to review, to conduct some after-action, to understand what has happened and to impart some lessons learned,  she said.;Fake
 Woman Who Made Viral ‘Naked Trump’ Painting Was Assaulted, Beaten Near Her Home (IMAGES);News;03-05-2016;Donald Trump s supporters are a violent bunch. All you have to do is go to one of his rallies to see how dangerous this man and his freaky fans are. They ve now taken it a step further, too   and dangerously so.;Fake
American Scientists Harvesting Human Organs in Live Pigs, Creating a Human-Pig Embryo;Middle-east;06-06-2016;21st Century Wire says This is one step closer to the future industry of farming organs in human surrogates. American scientists are now trying to grow human organs inside of pigs in order to  tackle the donor shortage  (problem, reaction, solution).The potential for limitless profits here is immense  The GuardianScientists trying to grow human organs inside pigs in an attempt to tackle a shortage of donors have successfully created part-human, part-pig embryos, it has been reported. Researchers at the University of California, Davis combined human stem cells and pig DNA and allowed the embryos to mature for 28 days, before terminating the experiment and analysing the tissue.;Fake
NFL STAR Delivers TOUGH Message About “Exterminating Blacks” For Any Voter Who Supports Hillary [VIDEO];left-news;18-08-2016;Hillary Clinton is a Planned Parenthood s champion. She was greeted like a rock star at the Planned Parenthood Action Fund event in June, 2016. She mocked Donald Trump s defense of life, while highlighting her undying support for destroying the life of the most vulnerable.;Fake
MEDIA IGNORES Time That Bill Clinton FIRED His FBI Director On Day Before Vince Foster Was Found Dead;politics;10-05-2017;In its 109-year history, only one F.B.I. director had been fired   until Tuesday, when President Trump fired James B. Comey. In July 1993, President Bill Clinton fired William S. Sessions, who had been nominated to the post by President Ronald Reagan in 1987. Mr. Clinton said his attorney general, Janet Reno, reviewed Mr. Sessions s leadership and concluded  in no uncertain terms that he can no longer effectively lead the bureau.;Fake
Barack Obama’s Final Arms-Export Totals Doubles That of Bush Administration;US_News;11-11-2016;21st Century Wire says 21WIRE has always pointed out that the marketing facade of Barack Obama as the  Nobel Peace Prize  President is just that   a facade. The facts simply do not support the myth.  Defense OneThe Obama administration has approved more than $278 billion in foreign arms sales in its eight years, more than double the total of the previous administration, according to figures released by the Pentagon on Tuesday.;Fake
OOPS! HECKLERS FORCE HILLARY OFF Stage In LA After Only One Minute [VIDEO];politics;07-05-2016;Karma s a bitch or is it the other way around? LA doesn't seem to like Hillary Clinton..her campaign rally today lasted less than a minute. This is over half of it pic.twitter.com/5IwqTTuTqv  Alison Arkin (@Cronikeys) May 7, 2016;Fake
SOMALI PIRATE POSING AS A “REFUGEE” Found Covered In Blood After Stabbing Roommate 19 Times In German Government Funded Housing;Government News;28-12-2015;Apparently free housing, food and spending money wasn t enough for this murderous thug posing as a helpless refugee A Somali pirate who was in jail in France for seven years has been jailed for another eleven years in Germany after murdering a fellow African while pretending to be an  asylum seeker  in a Berlin invader camp. The astonishing story of the 35-year-old African invader has been revealed in the Potsdam, Berlin-based M rkische Allgemeine newspaper. The Somali who has still not been named, apparently by court order provided an astonishing story which dramatically illustrated how hordes of fraudsters have taken advantage of deluded European liberals to invade and parasite off Europe.;Fake
 CNN Found The Perfect Way To Troll Trump’s Live Announcement Today (IMAGE);News;05-06-2017;Donald Trump may have been guilty in intentionally scheduled his first overseas trip to temporarily escape his Russia scandal just as things started really heating up. Unfortunately for Trump, now that he is back in the States, the investigation is once again catching up to him. One thing Trump will regret during this whole Russia investigation is his volatile, tense relationship with the press.;Fake
Region must do more to pressure South Sudan leaders to end conflict: U.S. diplomat;worldnews;13-09-2017;WASHINGTON (Reuters) - African countries should do more to pile pressure on South Sudan s political leaders, who seem incapable of resolving the country s four-year civil war, a top U.S. diplomat said on Wednesday.  We think there is more our African colleagues can and should be doing at this point, especially in terms of focusing on leadership, that from our point of view is behaving in a way that is very irresponsible,  Tom Shannon, U.S. under-secretary for political affairs at the State Department, told reporters. Shannon, speaking on the sidelines of a U.S-African Partnerships event at the U.S. Institute of Peace, said Washington had grown  intolerant  of South Sudan s leaders and the challenge was to work with African countries which are interested in seeing an end to the conflict.;True
UK's May says foreign minister Johnson 'doing good work';worldnews;19-09-2017;LONDON (Reuters) - British Prime Minister Theresa May backed her foreign minister Boris Johnson on Tuesday after reports he could quit over her Brexit strategy, Sky News reported. Sky news reporter Beth Rigby said on Twitter that, when asked whether Johnson should be sacked, May said:  Boris is doing good work as Foreign Secretary.  May also said she was confident of getting her whole senior team of ministers to back her Brexit strategy, which she is due to lay out at a specially convened cabinet meeting on Thursday before making a speech in Florence on Friday.;True
Democrats push SEC nominees on corporate political spending;politicsNews;15-03-2016;(Reuters) - Democrats in the Senate made a concerted push on Tuesday during a confirmation hearing for nominees to the Securities and Exchange Commission to require corporations to disclose political contributions. Senator Charles Schumer of New York threatened to vote against confirming the nominees, Lisa Fairfax and Hester Peirce, if they did not clearly state support for requiring corporations to make their political donations public. “ The SEC is certainly not responsible for patching that hole in our campaign finance system, but you can help prevent that hole from being ripped any wider,” Schumer said. “;True
U.S. court rules Arkansas can block Planned Parenthood funding;politicsNews;16-08-2017;(Reuters) - A U.S. appeals court on Wednesday reversed a ruling that prevented Arkansas from cutting off Medicaid funding to Planned Parenthood following the release of controversial videos secretly recorded by an anti-abortion group. The 8th U.S. Circuit Court of Appeals in St. Louis reversed a ruling forbidding Arkansas from carrying through with Republican Governor Asa Hutchinson’s directive to suspend Medicaid reimbursements to a Planned Parenthood affiliate. U.S. District Judge Kristine Baker in Little Rock had ruled in favor of three women who claimed Arkansas violated their rights under the federal Medicaid law to choose any qualified provider offering services they were seeking.;True
Trump review of Wall Street rules to be done in stages: sources;politicsNews;08-05-2017;NEW YORK/WASHINGTON (Reuters) - The U.S. government’s review of a landmark 2010 financial reform law will not be complete by early June as originally targeted, and officials will now report findings piece-by-piece, with priority given to banking regulations, sources familiar with the matter said on Monday. President Donald Trump has pledged to do a “big number” on the Dodd-Frank financial overhaul law, which raised banks’ capital requirements, restricted their ability to make speculative bets with customers’ money and created consumer protections in the wake of the financial crisis. In February, Trump ordered Treasury Secretary Steven Mnuchin to review the law and report back within 120 days, saying his administration expected to be cutting large parts of it.;True
Hundreds of U.S. Marines leave Australia after troop rotation;worldnews;15-10-2017;SYDNEY (Reuters) - Three hundred U.S. Marines flew out of Australia on Sunday as their troop rotation came to an end, the first of a 1,250-strong force to leave the Pacific nation after being stationed for six months in the country s far north. The sixth rotational group was the most advanced contingent to be sent since the program began after former U.S. President Barack Obama agreed to send troops in 2011 as part of a military pivot to the Asia-Pacific region. For the first time the rotation included an aviation combat section of 13 aircraft, including four MV-22 Osprey tilt-rotor aircraft, according to Australia s Department of Defence.;True
Trump strategy document says Russia meddles in domestic affairs worldwide;politicsNews;18-12-2017;WASHINGTON (Reuters) - U.S. President Donald Trump’s administration said on Monday that Russia interferes in the domestic political affairs of countries globally, but stopped short of accusing Moscow of meddling in the 2016 U.S. election. The criticism of Russia, laid out in a new national security strategy based on Trump’s “America First” vision, reflects a view long held by U.S. diplomats that Russia actively undermines American interests at home and abroad, despite Trump’s own bid for warmer ties with President Vladimir Putin. “ Through modernized forms of subversive tactics, Russia interferes in the domestic political affairs of countries around the world,” said the document.;True
Clinton calls Trump a 'loose cannon,' risky choice for president;politicsNews;04-05-2016;WASHINGTON (Reuters) - U.S. Democratic presidential front-runner Hillary Clinton took quick aim at presumptive Republican nominee Donald Trump on Wednesday, saying the United States should not take a risk on an unreliable candidate. “ He is a loose cannon, and loose cannons tend to misfire,” Clinton said in an interview with CNN, citing Trump stances including an allegation that climate change was a Chinese hoax.  Clinton, a former secretary of state, said Trump would have to offer policy specifics in ahead of the Nov. 8 presidential election and criticized him for his positions on issues including nuclear weapons and abortion. “;True
"Zimbabwe's top general ready ""to step in"" to end purge of ousted VP supporters";worldnews;13-11-2017;HARARE (Reuters) - Zimbabwe s top general warned on Monday that the military would not hesitate to step in to end purges against former liberation war fighters in President Robert Mugabe s ruling party after Emmerson Mnangagwa was stripped of his vice president s post. General Constantino Chiwenga, commander of Zimbabwe Defence Forces and a political ally of Mnangagwa who was also expelled from the ruling ZANU-PF, said instability in the party was causing anxiety in Zimbabwe. Chiwenga s statement, read out at a news conference packed with army top brass, comes at a time of a deepening rift within ZANU-PF over who will eventually lead the party after the 93-year-old Mugabe goes.;True
Republican Senator Portman opposes TPP trade deal in present form;politicsNews;04-02-2016;WASHINGTON (Reuters) - Republican U.S. Senator Rob Portman on Thursday said he opposes the Trans-Pacific Partnership trade deal in its present form, dealing a significant blow to the pact a day after officials from 12 countries signed it. Portman, from Ohio, said the Pacific trade deal fails to meet the needs of his state’s workers because it lacks an enforceable provision to fight currency manipulation and because of new, less-stringent country-of-origin rules for auto parts. “ I cannot support the TPP in its current form because it doesn’t provide that level playing field,” Portman said in a statement.;True
Venezuelan opposition disarray heaps pain on protesters;worldnews;25-10-2017;CARACAS/SAN CRISTOBAL, Venezuela (Reuters) - With some nursing wounds, others jailed and many heading abroad, Venezuela s young opposition supporters are demoralized by the ruling socialists  shock election win this month, after prolonged protests failed to oust President Nicolas Maduro. Having for months led rallies and battles against Maduro s security forces in which scores died, youth demonstrators reluctantly abandoned the streets as the opposition turned its attention to the Oct. 15 gubernatorial vote. Though the opposition looked set to win comfortably due to public anger over food and medicine shortages, plus soaring inflation, the government took 18 of 23 governorships.;True
France's Macron says not offering Hariri exile;worldnews;15-11-2017;BONN, Germany (Reuters) - President Emmanuel Macron on Wednesday said his invitation on Wednesday to Lebanon s prime minister Saad al-Hariri to come to France was not an offer of political exile.  No, not at all,  Macron told reporters in Bonn when asked if he was handing Hariri exile.  I hope that Lebanon will be stable, and that political choices should be in accordance with institutional rule.;True
Trump could lose a few pounds, but otherwise healthy: adviser;politicsNews;14-09-2016;(Reuters) - Donald Trump knows he could stand to lose a few pounds but otherwise is in great health, campaign adviser Sarah Huckabee Sanders told MSNBC on Wednesday after the Republican presidential candidate filmed a TV segment about his well-being. Trump taped an episode of the “Dr. Oz Show” in New York that will air on Thursday, in which he gave host Dr. Mehmet Oz a summary of a physical exam conducted last week. Trump’s campaign has said he will also release more medical information to the public.;True
After Africa trip, France's Macron breaks 50 percent popularity rating;worldnews;05-12-2017;PARIS (Reuters) - French President Emmanuel Macron s popularity rose above 50 percent for the first time since he was elected in May with people approving of the way he defends the country s interests abroad, a poll showed on Tuesday. The poll, conducted by Ifop-Fiducial for Paris Match magazine, saw the head of state s popularity jump 6 percent compared to the same survey in November.  It comes after Macron undertook a three-day tour to Africa promising a break from the past.;True
Trump mulls national security adviser pick, White House promises autonomy;politicsNews;19-02-2017;WEST PALM BEACH, Fla./WASHINGTON (Reuters) - President Donald Trump may do another round of interviews for the position of national security adviser with new or existing candidates on Monday as he scrambles to fill the post following the ouster of Michael Flynn. Trump interviewed four finalists on Sunday and may meet with some of them again on Monday, White House spokeswoman Sarah Sanders told reporters. The president interviewed acting adviser Keith Kellogg, former U.S. Ambassador to the United Nations John Bolton, Lieutenant General H.R. McMaster and Lieutenant General Robert Caslen at his Mar-a-Lago resort. “;True
Trump to sign order sweeping away Obama-era climate policies;politicsNews;28-03-2017;WASHINGTON (Reuters) - U.S. President Donald Trump will sign an executive order on Tuesday to undo a slew of Obama-era climate change regulations, a move meant to bolster domestic energy production but which environmentalists have vowed to challenge in court. The decree, dubbed the “Energy Independence” order, will seek to undo former President Barack Obama’s Clean Power Plan requiring states to slash carbon emissions from power plants - a critical element in helping the United States meet its commitments to a global climate change accord agreed by nearly 200 countries in Paris in December 2015.  It will also rescind a ban on coal leasing on federal lands, reverse rules to curb methane emissions from oil and gas production, and reduce the weight of climate change in federal agencies’ assessments of new regulations. “;True
U.N. hails first step on Syria detainees, cautious on Sochi plan;worldnews;22-12-2017;GENEVA (Reuters) - U.N. Syria envoy Staffan de Mistura said Syria talks in the Kazakh capital Astana on Friday had agreed on a  working group  for the release of detainees, which he said was a commendable first step towards an arrangement between the warring sides.  He also said that Russia s plan to convene a Syrian  congress of national dialogue  in Sochi next month should be assessed by its ability to contribute to and support the U.N.-led Geneva talks on ending the war in Syria.  ;True
Taiwan suspends oil exports to North Korea, imports of clothing;worldnews;19-09-2017;TAIPEI (Reuters) - Taiwan has suspended refined oil and LNG exports to North Korea, as well as clothing and textile imports, to comply with United Nations resolutions, a largely symbolic move by the island to show it is a responsible member of the international community. Self-ruled Taiwan is not a member of the United Nations, due to Beijing s position that it is simply a Chinese province and so not able to have its own official diplomatic ties with anyone. But proudly democratic Taiwan likes to show that it follows international norms, despite its lack of U.N. membership.;True
UK minister Gove says he hopes May will remain Prime Minister;worldnews;06-10-2017;LONDON (Reuters) - Britain s environment minister and prominent Brexiteer Michael Gove said he hoped Theresa May would remain prime minister after party divisions over her future burst into the open on Friday, revealing a plot by up to 30 lawmakers to unseat her.  Theresa does have the qualities to be Prime Minister, she s been an excellent prime minister, I hope she carries on as our Prime Minister for years to come,  Gove told BBC radio.  ;True
Trump to meet with House Republicans on July 7;politicsNews;14-06-2016;WASHINGTON (Reuters) - Donald Trump will speak with House of Representatives Republicans on July 7 in what would be the first meeting of the party’s presumptive presidential nominee with its entire House caucus, Republican aides said on Tuesday. House Republican Conference Chair Cathy McMorris Rodgers announced plans for the meeting in a closed-door gathering of House Republicans on Tuesday, the aides said. Some House Republicans have publicly criticized Trump’s inflammatory comments about Muslims, immigrants and women, saying they risked the party’s chances of winning the Nov. 8 election.;True
Draft Senate healthcare bill would link subsidies to income: Washington Post;politicsNews;21-06-2017;WASHINGTON (Reuters) - Senate Republicans would repeal most of the taxes that pay for Obamacare, roll back expanded Medicaid coverage under the healthcare law approved in 2010, reshape its subsidies, give states wider latitude to opt out of its regulations and eliminate federal funding for Planned Parenthood, under a draft bill reported by the Washington Post on Wednesday. The Senate legislation would link federal insurance subsidies to income, a change from a House-passed bill that tied them to age, the Post reported. The Senate bill also cuts off Obamacare’s Medicaid expansion more gradually than the House legislation, which passed on May 4, and it removes language restricting federally subsidized health plans from covering abortions, the newspaper said.;True
Polish PM: want to ensure rights of Poles in UK in Brexit talks;worldnews;22-09-2017;WARSAW (Reuters) - Polish Prime Minister Beata Szydlo said on Friday that for Poland the key issue in Brexit negotiations is to focus on the rights of Polish citizens in Britain and issues related to the EU budget.  The Prime Minister expressed expectations that at the first stage of the negotiations it is key to focus on working out good guarantees of the rights of Polish citizens in the United Kingdom, as well as issues related to the EU budget,  Szydlo said in comments emailed to Reuters, following a phone call with Britain s Theresa May.  For Poland it is important that the UK fulfils its current financial obligations.;True
U.S. Treasury sees business taxes as fruitful ground for bipartisan deal;politicsNews;25-05-2017;WASHINGTON (Reuters) - The Trump administration is particularly hopeful it can reach a bipartisan tax deal when it comes overhauling laws for business taxes, Treasury Secretary Steven Mnuchin said on Thursday. “ We are hopeful that we can find common ground, particularly on the issue of making our business taxes competitive,” Mnuchin told a Senate panel.;True
